student_code	school_code	benchmark_test_code	test_score
102713617	NULL	G5Math_2013-04-01	47.37
970077236	NULL	Alg1_2013-04-01	44.12
970026385	NULL	G4DBA_ELA_2013-04-01	38.71
104042148	NULL	G7Math_2013-04-01	50.00
103562161	NULL	G8Math_2013-04-01	51.61
970027604	NULL	G4DBA_ELA_2013-04-01	25.81
104505698	NULL	G7Math_2013-04-01	50.00
970033620	NULL	G8DBA_ELA_2013-04-01	57.58
103462016	NULL	G8Math_2013-04-01	45.16
970028985	NULL	G4Math_2013-04-01	93.18
970075040	NULL	G7Math_2013-04-01	88.89
102765336	NULL	G9DBA_ELA_2013-04-01	38.24
970076931	NULL	Alg1_2013-04-01	85.29
534788427	NULL	G6DBA_ELA_2013-04-01	51.35
970069481	NULL	G5DBA_ELA_2013-04-01	67.65
103420907	NULL	G8MathP_2013-04-01	48.15
100061308	NULL	Alg1_2013-04-01	76.47
103807699	NULL	G4DBA_ELA_2013-04-01	16.13
970098782	NULL	G4MathP_2013-04-01	85.54
103469102	NULL	G9DBA_ELA_2013-04-01	52.94
970038201	NULL	G4DBA_ELA_2013-04-01	32.26
970052263	NULL	G6DBA_ELA_2013-04-01	70.27
104366463	NULL	G6Math_2013-04-01	27.27
104229224	NULL	G7DBA_ELA_2013-04-01	55.56
104091749	NULL	G6DBA_ELA_2013-04-01	48.65
104131420	NULL	G7Math_2013-04-01	41.67
102401155	NULL	G9DBA_ELA_2013-04-01	61.76
102752623	NULL	Alg1_2013-04-01	47.06
970076312	NULL	G7Math_2013-04-01	63.89
104096318	NULL	G6DBA_ELA_2013-04-01	64.86
103385449	NULL	Geom_2013-04-01	62.86
970020927	NULL	G7DBA_ELA_2013-04-01	27.78
825847213	NULL	G6DBA_ELA_2013-04-01	32.43
100097450	NULL	G10DBA_ELA_2013-04-01	73.53
103718920	NULL	G8DBA_ELA_2013-04-01	42.42
102782810	NULL	Geom_2013-04-01	54.29
103477055	NULL	G8Math_2013-04-01	32.26
102885902	NULL	G9DBA_ELA_2013-04-01	50.00
103441226	NULL	G8DBA_ELA_2013-04-01	72.73
104114202	NULL	G7DBA_ELA_2013-04-01	63.89
837457977	NULL	G5Math_2013-04-01	36.84
970026499	NULL	G4DBA_ELA_2013-04-01	38.71
970091113	NULL	G5Math_2013-04-01	47.37
103372868	NULL	G8Math_2013-04-01	45.16
104308382	NULL	G4Math_2013-04-01	43.18
970027539	NULL	G4DBA_ELA_2013-04-01	58.06
102835501	NULL	G10DBA_ELA_2013-04-01	32.35
970091884	NULL	G7DBA_ELA_2013-04-01	91.67
332688464	NULL	G5Math_2013-04-01	84.21
102974037	NULL	G10DBA_ELA_2013-04-01	70.59
970026435	NULL	G4Math_2013-04-01	63.64
104504808	NULL	G8MathP_2013-04-01	55.85
466217429	NULL	G6DBA_ELA_2013-04-01	18.92
103483152	NULL	G6Math_2013-04-01	57.58
104112545	NULL	G5DBA_ELA_2013-04-01	44.12
102836764	NULL	G9DBA_ELA_2013-04-01	76.47
100102706	NULL	G9DBA_ELA_2013-04-01	38.24
100103084	NULL	Alg1_2013-04-01	61.76
102843307	NULL	G9DBA_ELA_2013-04-01	32.35
104179908	NULL	G6Math_2013-04-01	33.33
869881391	NULL	Alg1_2013-04-01	32.35
867172223	NULL	G5Math_2013-04-01	57.89
104052048	NULL	G7DBA_ELA_2013-04-01	0.00
